Start,end,Onset,offset,Behaviour,,,
1201,1206,0:20:01,0:20:06,pups in ,,,
1201,1241,0:20:01,0:20:41,On nest no pups,,,
1241,1246,0:20:41,0:20:46,Approach ,,,
1246,1252,0:20:46,0:20:52,Active investigation,,,
1255,1264,0:20:55,0:21:04,On nest no pups,,,
1265,1266,0:21:05,0:21:06,Approach,,,
1266,1271,0:21:06,0:21:11,Active investigation,,,
1271,1274,0:21:11,0:21:14,Retrieve,,,attempt
1275,1277,0:21:15,0:21:17,On nest no pups,,,
1277,1278,0:21:17,0:21:18,Approach,,,
1278,1284,0:21:18,0:21:24,Retrieve,,,pup 1 into nest
1284,1332,0:21:24,0:22:12,On nest with pups,,,
1286,1315,0:21:26,0:21:55,Active investigation,,,
1327,1329,0:22:07,0:22:09,Active investigation,,,
1331,1333,0:22:11,0:22:13,Approach,,,
1333,1337,0:22:13,0:22:17,Retrieve,,,to edge of nest
1337,1379,0:22:17,0:22:59,On nest with pups,,,
1341,1349,0:22:21,0:22:29,Retrieve,,,pup 2 into nest
1349,1361,0:22:29,0:22:41,Active investigation,,,
1366,1379,0:22:46,0:22:59,Active investigation,,,
1379,1382,0:22:59,0:23:02,Approach,,,
1382,1384,0:23:02,0:23:04,Active investigation,,,
1388,1680,0:23:08,0:28:00,On nest with pups,,,
1389,1393,0:23:09,0:23:13,On nest with pups not interacting active,,,
1393,1396,0:23:13,0:23:16,Active investigation,,,
1396,1410,0:23:16,0:23:30,On nest with pups not interacting active,,,
1411,1412,0:23:31,0:23:32,Active investigation,,,
1412,1536,0:23:32,0:25:36,On nest with pups not interacting passive,,,
1536,1634,0:25:36,0:27:14,Active investigation,,,
1641,1680,0:27:21,0:28:00,Nest building,,,
1680,1684,0:28:00,0:28:04,Approach,,,
1684,1688,0:28:04,0:28:08,Retrieve,,,to edge of nest
1689,1702,0:28:09,0:28:22,On nest with pups ,,,
1696,1698,0:28:16,0:28:18,Active investigation,,,to edge of nest
1699,1702,0:28:19,0:28:22,Active investigation,,,
1710,1730,0:28:30,0:28:50,On nest with pups ,,,
1713,1730,0:28:33,0:28:50,Nest building,,,
1737,1737,0:28:57,0:28:57,Active investigation,,,
1738,2111,0:28:58,0:35:11,On nest with pups,,,
1746,1763,0:29:06,0:29:23,Active investigation,,,
1767,1770,0:29:27,0:29:30,Active investigation,,,
1771,1822,0:29:31,0:30:22,Nest building,,,
1823,1854,0:30:23,0:30:54,Active investigation,,,
1854,1999,0:30:54,0:33:19,On nest with pups passive,,,
1999,2036,0:33:19,0:33:56,Active investigation,,,
2043,2046,0:34:03,0:34:06,Active investigation,,,
2046,2080,0:34:06,0:34:40,On nest with pups passive,,,
2081,2083,0:34:41,0:34:43,Active investigation,,,
2083,2086,0:34:43,0:34:46,On nest with pups passive,,,
2086,2088,0:34:46,0:34:48,Active investigation,,,
2088,2102,0:34:48,0:35:02,On nest with pups passive,,,
2102,2113,0:35:02,0:35:13,pups out,,,
